indices,times,engine,encoded_indices
(),"[0.04073166847229004, 0.0009989738464355469, 0.008002996444702148, 0.0029697418212890625, 0.04680132865905762, 0.008996725082397461, 0.0009770393371582031, 0.006075859069824219, 0.0110015869140625, 0.021004438400268555]",InnoDB,
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);',)","[0.04037666320800781, 0.0020008087158203125, 0.009025335311889648, 0.002334117889404297, 0.03144121170043945, 0.005182504653930664, 0.0009944438934326172, 0.003999948501586914, 0.011073589324951172, 0.020355701446533203]",InnoDB,I13
"('CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);',)","[0.04560089111328125, 0.0020003318786621094, 0.0029990673065185547, 0.002990245819091797, 0.03158211708068848, 0.0040056705474853516, 0.0010001659393310547, 0.0060198307037353516, 0.010996341705322266, 0.02730870246887207]",InnoDB,I19
"('CREATE INDEX idx_sample_id ON sample(Sample_ID);',)","[0.06778097152709961, 0.0020079612731933594, 0.006002187728881836, 0.003000974655151367, 0.029344797134399414, 0.004071474075317383, 0.0011997222900390625, 0.006075382232666016, 0.010813236236572266, 0.021779298782348633]",InnoDB,I15
"('CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);',)","[0.030709028244018555, 0.001003265380859375, 0.007003068923950195, 0.0030281543731689453, 0.04103446006774902, 0.005509376525878906, 0.0010027885437011719, 0.0050029754638671875, 0.011228561401367188, 0.022081613540649414]",InnoDB,I18
"('CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);',)","[0.044509172439575195, 0.0019719600677490234, 0.0069997310638427734, 0.0029976367950439453, 0.03104400634765625, 0.0046389102935791016, 0.0019943714141845703, 0.005997896194458008, 0.01050567626953125, 0.018631935119628906]",InnoDB,I16
"('CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);',)","[0.042943477630615234, 0.0020360946655273438, 0.007834434509277344, 0.003000974655151367, 0.029611825942993164, 0.003996610641479492, 0.0010082721710205078, 0.0049991607666015625, 0.009510040283203125, 0.019755125045776367]",InnoDB,I17
"('CREATE INDEX idx_patient_disease ON patient(Disease(255));',)","[0.04183602333068848, 0.00200653076171875, 0.0020041465759277344, 0.0030128955841064453, 0.029693126678466797, 0.004032135009765625, 0.0009989738464355469, 0.00400853157043457, 0.010912179946899414, 0.02010345458984375]",InnoDB,I12
"('CREATE INDEX idx_sample_date ON sample(Date);',)","[0.04320669174194336, 0.0029692649841308594, 0.009569406509399414, 0.003984689712524414, 0.030553579330444336, 0.005000114440917969, 0.001001596450805664, 0.005995035171508789, 0.011154651641845703, 0.020216941833496094]",InnoDB,I14
"('CREATE INDEX idx_sample_type ON sample(Sample_Type);',)","[0.043648481369018555, 0.001043558120727539, 0.006999492645263672, 0.0020051002502441406, 0.029326677322387695, 0.004985809326171875, 0.0019991397857666016, 0.005995750427246094, 0.009999513626098633, 0.025230884552001953]",InnoDB,I20
"('CREATE INDEX idx_microorganism_species ON microorganism(Species(255));',)","[0.04375600814819336, 0.002014636993408203, 0.007046222686767578, 0.003945827484130859, 0.031655073165893555, 0.004001617431640625, 0.001997232437133789, 0.005020856857299805, 0.009182929992675781, 0.019109010696411133]",InnoDB,I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);')","[0.04226875305175781, 0.001003265380859375, 0.002023458480834961, 0.00407719612121582, 0.04726076126098633, 0.0040187835693359375, 0.002003192901611328, 0.0050961971282958984, 0.010554790496826172, 0.018050193786621094]",InnoDB,I13+I19
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);')","[0.0493464469909668, 0.0009996891021728516, 0.00699925422668457, 0.0035839080810546875, 0.03261899948120117, 0.005001544952392578, 0.0019989013671875, 0.005020856857299805, 0.009027719497680664, 0.019162893295288086]",InnoDB,I13+I15
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);')","[0.029669761657714844, 0.002071380615234375, 0.007659912109375, 0.0020236968994140625, 0.03820037841796875, 0.004025936126708984, 0.0019268989562988281, 0.004997968673706055, 0.010156631469726562, 0.018407583236694336]",InnoDB,I13+I18
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);')","[0.06204342842102051, 0.0009987354278564453, 0.010279178619384766, 0.005010366439819336, 0.04457855224609375, 0.007510662078857422, 0.0009980201721191406, 0.0049593448638916016, 0.011051416397094727, 0.018652677536010742]",InnoDB,I13+I16
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);')","[0.04436206817626953, 0.0020041465759277344, 0.008566617965698242, 0.0030002593994140625, 0.029078245162963867, 0.004557371139526367, 0.0010056495666503906, 0.0049974918365478516, 0.00907588005065918, 0.01900339126586914]",InnoDB,I13+I17
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));')","[0.048822641372680664, 0.0019986629486083984, 0.0019974708557128906, 0.0030002593994140625, 0.0295865535736084, 0.0039975643157958984, 0.001001119613647461, 0.006002902984619141, 0.009998559951782227, 0.021581649780273438]",InnoDB,I13+I12
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.05782771110534668, 0.0020117759704589844, 0.0070002079010009766, 0.003083944320678711, 0.028988361358642578, 0.004879474639892578, 0.0010368824005126953, 0.005034446716308594, 0.012058258056640625, 0.019249916076660156]",InnoDB,I13+I14
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.05027008056640625, 0.0009922981262207031, 0.007941484451293945, 0.0023050308227539062, 0.03083491325378418, 0.0049593448638916016, 0.0019910335540771484, 0.00605320930480957, 0.015091180801391602, 0.020778179168701172]",InnoDB,I13+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.04276537895202637, 0.0010058879852294922, 0.007001638412475586, 0.003993034362792969, 0.030896663665771484, 0.004002571105957031, 0.0010001659393310547, 0.005994081497192383, 0.01311945915222168, 0.02100539207458496]",InnoDB,I13+I11
"('CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);')","[0.04583930969238281, 0.0020003318786621094, 0.00299072265625, 0.0030219554901123047, 0.03151583671569824, 0.0050241947174072266, 0.0020029544830322266, 0.005002498626708984, 0.01604771614074707, 0.02000737190246582]",InnoDB,I19+I15
"('CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);')","[0.02516961097717285, 0.002070188522338867, 0.002991199493408203, 0.0029816627502441406, 0.038472890853881836, 0.004972696304321289, 0.0020058155059814453, 0.006021976470947266, 0.009036779403686523, 0.01957249641418457]",InnoDB,I19+I18
"('CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);')","[0.04308366775512695, 0.002008676528930664, 0.0019257068634033203, 0.00400090217590332, 0.031165122985839844, 0.005002498626708984, 0.001965045928955078, 0.005000114440917969, 0.010046720504760742, 0.020650148391723633]",InnoDB,I19+I16
"('CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);')","[0.04122614860534668, 0.0015153884887695312, 0.002020597457885742, 0.003991603851318359, 0.03337740898132324, 0.00500035285949707, 0.001001596450805664, 0.005016803741455078, 0.0100250244140625, 0.018767833709716797]",InnoDB,I19+I17
"('CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));')","[0.044354915618896484, 0.002000093460083008, 0.0009794235229492188, 0.004010438919067383, 0.028997421264648438, 0.0039675235748291016, 0.0019981861114501953, 0.004996299743652344, 0.010001897811889648, 0.018688678741455078]",InnoDB,I19+I12
