Sample_ID,qPCR
SMP-05323-LOV,997
SMP-96345-TCH,910
SMP-62370-YLG,903
SMP-18705-JEP,814
SMP-73344-HDK,813
SMP-24070-PBL,787
SMP-84512-UIP,764
SMP-32073-NRV,751
SMP-13045-DVO,725
SMP-52578-QGO,699
SMP-71359-OXJ,677
SMP-69662-LPT,633
SMP-53317-EDX,561
SMP-17056-IDS,537
SMP-76374-QWR,534
SMP-01240-QYX,499
SMP-28329-SWP,457
SMP-17004-LPK,457
SMP-04440-GGQ,450
SMP-99056-WGX,437
SMP-34220-HJP,391
SMP-09883-BWY,365
SMP-57489-JOK,346
SMP-72089-MCM,338
SMP-04741-XPA,334
SMP-95981-TKB,322
SMP-85667-AZT,303
SMP-78200-OZJ,280
SMP-68941-JOQ,263
SMP-97553-LMU,244
SMP-84540-MUS,240
SMP-41337-QZU,215
SMP-92337-KWY,210
SMP-97081-VAR,197
SMP-82661-TOU,180
SMP-01457-TJQ,131
SMP-78347-TVC,128
SMP-21398-LLE,101
SMP-25079-OPY,55
