,Minimum Time (s),Query,Index Combination,Engine
28170,0.020707368850708008,Q1,I2+I3+I4+I5+I7+I9,MEMORY
26679,0.01599717140197754,Q10,I4+I5+I6+I7+I10,MEMORY
19511,0.0,Q2,I1+I4+I5+I6+I7+I9+I10,MyISAM
19942,0.0008022785186767578,Q3,I1+I2+I3+I4+I5+I6+I7+I10,MyISAM
28053,0.0009961128234863281,Q4,I1+I4+I7+I8+I9+I10,MEMORY
28734,0.015013694763183594,Q5,I3+I4+I5+I6+I9+I10,MEMORY
22105,0.0024309158325195312,Q6,I5+I7+I10,MEMORY
12206,0.0,Q7,I1+I2+I6+I9,MyISAM
28447,0.003984212875366211,Q8,I2+I3+I6+I7+I9+I10,MEMORY
30498,0.007997512817382812,Q9,I1+I3+I4+I6+I7+I8+I9+I10,MEMORY
