Unnamed: 0,Minimum Time (s),Query,Index Combination,Engine,Decoded Index Combination
28170,0.020707368850708,Q1,I2+I3+I4+I5+I7+I9,MEMORY,"sample(Patient_ID, sample(Sample_ID, sample_microorganism(Sample_ID, sample_microorganism(Microorganism_ID, patient(Disease(255, sample(Sample_Type"
26679,0.0159971714019775,Q10,I4+I5+I6+I7+I10,MEMORY,"sample_microorganism(Sample_ID, sample_microorganism(Microorganism_ID, sample_microorganism(qPCR, patient(Disease(255, microorganism(Species(255"
19511,0.0,Q2,I1+I4+I5+I6+I7+I9+I10,MyISAM,"patient(Patient_ID, sample_microorganism(Sample_ID, sample_microorganism(Microorganism_ID, sample_microorganism(qPCR, patient(Disease(255, sample(Sample_Type, microorganism(Species(255"
19942,0.0008022785186767,Q3,I1+I2+I3+I4+I5+I6+I7+I10,MyISAM,"patient(Patient_ID, sample(Patient_ID, sample(Sample_ID, sample_microorganism(Sample_ID, sample_microorganism(Microorganism_ID, sample_microorganism(qPCR, patient(Disease(255, microorganism(Species(255"
28053,0.0009961128234863,Q4,I1+I4+I7+I8+I9+I10,MEMORY,"patient(Patient_ID, sample_microorganism(Sample_ID, patient(Disease(255, sample(Date, sample(Sample_Type, microorganism(Species(255"
28734,0.0150136947631835,Q5,I3+I4+I5+I6+I9+I10,MEMORY,"sample(Sample_ID, sample_microorganism(Sample_ID, sample_microorganism(Microorganism_ID, sample_microorganism(qPCR, sample(Sample_Type, microorganism(Species(255"
22105,0.0024309158325195,Q6,I5+I7+I10,MEMORY,"sample_microorganism(Microorganism_ID, patient(Disease(255, microorganism(Species(255"
12206,0.0,Q7,I1+I2+I6+I9,MyISAM,"patient(Patient_ID, sample(Patient_ID, sample_microorganism(qPCR, sample(Sample_Type"
28447,0.0039842128753662,Q8,I2+I3+I6+I7+I9+I10,MEMORY,"sample(Patient_ID, sample(Sample_ID, sample_microorganism(qPCR, patient(Disease(255, sample(Sample_Type, microorganism(Species(255"
30498,0.0079975128173828,Q9,I1+I3+I4+I6+I7+I8+I9+I10,MEMORY,"patient(Patient_ID, sample(Sample_ID, sample_microorganism(Sample_ID, sample_microorganism(qPCR, patient(Disease(255, sample(Date, sample(Sample_Type, microorganism(Species(255"
